title,author,pub
"Stalingrad,","Plivier, Theodor, 1892-1955.; Winston, Richard,","New York, Appleton-Century-Crofts 1948"
"The silence of the sea,","Vercors, 1902-1991.; Connolly, Cyril,","New York, The Macmillan Company, 1944"
The age of reason /,"Sartre, Jean-Paul, 1905-1980, author.; Sutton, Eric,","New York : The Modern Library, 1947"
The High Barbaree /,"Nordhoff, Charles, 1887-1947.; Hall, James Norman,","Boston : Little, Brown and Co., 1945"
"Black-out in Gretley, a story of and for wartime.","Priestley, J. B. 1894-1984.","New York, London, Harper & Bros., 1942"
"Landfall, a channel story,","Shute, Nevil, 1899-1960.","New York, Morrow, 1940"
The naked and the dead /,"Mailer, Norman.","New York : Modern Library, 1948"
The Chestry oak /,"Seredy, Kate.","New York : Viking Press, 1948"
"The headmistress, a novel","Thirkell, Angela, 1890-1961.","New York : A. A. Knopf,  1945, ?"
Came a cavalier /,"Keyes, Frances Parkinson, 1885-1970.","New York : J. Messner, 1947"
The crusaders.,"Heym, Stefan, 1913-","Boston, Little, Brown, 1948"
Beany Malone /,"Weber, Lenora Mattingly, 1895-1971.","New York : Junior Literary Guild : Crowell, 1948"
Happy land /,"Kantor, MacKinlay, 1904-1977.","New York : Coward-McCann, 1943"
The ministry of fear : an entertainment /,"Greene, Graham, 1904-1991.","New York : The Viking Press, 1943"
Call it treason : a novel /,"Howe, George Locke.","New York : Viking Press, 1949"
The intruder.,"Fowler, Helen Marjorie, 1910-","New York, Morrow,  1953, 1952"
All night long : a novel of guerrilla warfare in Russia /,"Caldwell, Erskine, 1903-1987.","New York : Duell, Sloan and Pearce, 1942"
The castle on the hill.,"Goudge, Elizabeth, 1900-1984.","New York, Coward-McCann, Inc. 1942"
"This above all,","Knight, Eric, 1897-1943.","New York and London, Harper & Bros. 1941"
The lonely.,"Gallico, Paul, 1897-1976.","New York, A.A. Knopf,  1949, ?"
Primrose day /,"Haywood, Carolyn, 1898-1990.","New York : Harcourt, Brace & World, Inc., 1942"
Back.,"Green, Henry, 1905-1974.","New York, Viking Press,  1950, 1946"
"Men without country,","Nordhoff, Charles, 1887-1947.; Hall, James Norman,","Boston, Little, Brown and Co., 1942"
High time /,"Lasswell, Mary, 1905-1994.; Price, George,","Boston : Houghton Mifflin, 1944"
More than conqueror /,"Hill, Grace Livingston, 1865-1947.","New York : Grosset & Dunlap, 1944"
Without orders.,"Albrand, Martha.","Boston, Little, Brown, 1943"
"Peace breaks out,","Thirkell, Angela, 1890-1961.","New York, A.A. Knopf,  1947, ?"
Battle stations; true stories of men in war.,"Scoggin, Margaret C. 1905-1968, comp.","New York, Knopf, 1953"
The angry hills.,"Uris, Leon, 1924-2003.","New York, Random House 1955"
The bridge over the River Kwai.,"Boulle, Pierre, 1912-1994.","New York, F. Watts 1954"
Theater shoes : or other people's shoes /,"Streatfeild, Noel.; Floethe, Richard,","New York : Random House, 1945"
Reprisal,"Vance, Ethel, 1891-1991.","Boston, Little, Brown and company, 1942"
The night of the summer solstice & other stories of the Russian war /,"Van Doren, Mark,","New York : H. Holt and Co., 1943"
"The strumpet wind,","Merrick, Gordon.","New York, W. Morrow & Co., 1947"
"Kenny,","Bromfield, Louis, 1896-1956.","New York and London, Harper & Bros. 1947"
Signed with their honour.,"Aldridge, James, 1918-","Boston : Little, Brown and Co., 1942"
Officers and gentlemen; a novel.,"Waugh, Evelyn, 1903-1966.","London, Chapman & Hall, 1955"
The naked and the dead /,"Mailer, Norman.","New York : Holt, Rinehart and Winston, 1948"
"London pride,","Bottome, Phyllis, 1882-1963.","Boston, Little, Brown and Co., 1941"
Northbridge rectory.,"Thirkell, Angela, 1890-1961.","New York, N.Y. : Knopf,  1942, ?"
