Position,Region,Name, VolInBill ,NumProps,Prop Type
Seller,Africa,RESILIENT PROP INCOM..., 0.10 ,6,All
Seller,Africa,LIBERTY PROPERTIES LTD, 0.10 ,1,All
Seller,Africa,FOUNTAINHEAD PROPERT..., 0.09 ,3,All
Seller,Africa,CAPITAL PROPERTY FUND, 0.09 ,12,All
Seller,Africa,AFRICAN LAND INVESTM..., 0.09 ,1,All
Seller,Africa,MANAKA PROPERTY INVE..., 0.08 ,4,All
Seller,Africa,RABIE PROPERTY GROUP, 0.06 ,8,All
Seller,Africa,ZENPROP PROPERTY HOL..., 0.06 ,1,All
Seller,Africa,RESILIENT PROPERTY I..., 0.06 ,2,All
Seller,Africa,KEYSTONE INVESTMENTS, 0.06 ,2,All
Seller,Africa,RPP DEVELOPMENTS, 0.05 ,7,All
Seller,Africa,MOMENTUM GROUP, 0.05 ,1,All
Seller,Africa,PEREGRINE HOLDINGS LTD, 0.05 ,1,All
Buyer,Asia,CHINA VANKE, 10.27 ,65,All
Buyer,Asia,GREENLAND GROUP, 9.98 ,110,All
Buyer,Asia,POLY REAL ESTATE GROUP, 7.17 ,59,All
Buyer,Asia,EVERGRANDE RE GROUP, 5.76 ,44,All
Buyer,Asia,SHIMAO GROUP, 5.69 ,39,All
Buyer,Asia,CHINA RESOURCES, 5.47 ,26,All
Buyer,Asia,CHINA OVERSEAS L&I, 5.28 ,29,All
Buyer,Asia,SUNAC CHINA, 5.07 ,22,All
Buyer,Asia,SUN HUNG KAI, 4.85 ,7,All
Buyer,Asia,DALIAN WANDA GROUP, 3.32 ,77,All
Buyer,Asia,GUANGZHOU R&F PROP CO, 3.10 ,11,All
Buyer,Asia,BLACKSTONE, 3.07 ,25,All
Buyer,Asia,WHEELOCK & CO, 2.94 ,10,All
Buyer,Asia,KAISA, 2.73 ,17,All
Buyer,Asia,NIPPON BUILDING FUND, 2.68 ,8,All
Buyer,Asia,YUEXIU GROUP, 2.62 ,9,All
Buyer,Asia,TIANJIN RE DEV MGMT, 2.56 ,9,All
Buyer,Asia,CHINA RAILWAY CONST, 2.56 ,14,All
Buyer,Asia,ZHENRO GROUP, 2.53 ,11,All
