title,author,pub
The bridge over the River Kwai;,"Boulle, Pierre, 1912-1994.","New York, Time Inc., 1954"
The trap : a novel /,"Billany, Dan.","London : Faber and Faber, 1950"
The freebooters /,"Wernick, Robert.","New York : C. Scribner's Sons, 1949"
Just love;,"Wasilewska, Wanda, 1905-1964.; Bone, Edith,","London, New York [etc.] Hutchinson international authors ltd. 1945"
Tales of the south Pacific /,"Michener, James A. 1907-1997.","New York : Macmillan, 1952"
"The demon lover, and other stories /","Bowen, Elizabeth, 1899-1973.","London : J. Cape, 1952"
Stalingrad; the death of an army.,"Plivier, Theodor, 1892-1955.; Robinson, H. Langmead,","London, Athenum Pub. Co. 1948"
Year one /,"Delehanty, Elizabeth.","New York : E.P. Dutton, 1946"
A flask for the journey.,"Green, F. L. 1902-1953.","London, M. Joseph 1946"
Men in black : a novel about Lidice /,"Elford, Owen, 1894-1979.","New York, N.Y. : A. Unger, 1942"
Wine of violence.,"Ingersoll, Ralph, 1900-1985.","New York, Farrar, Straus & Young 1951"
A story about a real man /,"Polevoi, Boris.; Fineberg, J.","Moscow : Foreign Languages Pub. House, 1949"
"Run silent, run deep /","Beach, Edward L. 1918-2002.","New York : Holt, 1955"
The cruel sea.,"Monsarrat, Nicholas, 1910-1979.","London, Cassell & Co., 1951"
The twenty-fifth hour : a novel /,"Gheorghiu, Virgil, 1916-1992.","London : W. Heinemann, 1950"
"Three from Greenways, a story of children from England,","Dalgliesh, Alice, 1893-1979.; Howe, Gertrude,","New York, London, C. Scribners sons, 1941"
John's journey /,"Hogarth, Grace Allen, 1905-; Unwin, Nora S.","New York : Harcourt, Brace and Company, 1952"
The sun is silent.,"Levitt, Saul.","New York, Harper 1951"
"Homecoming, a novel","Colver, Alice Ross, 1892-","Philadelphia, Macrae-Smith-company, 1945"
Jezebel the jeep /,"Downey, Fairfax, 1893-1990.; Brown, Paul,","New York : Dodd, Mead & Co., 1944"
The people immortal /,"Grossman, Vasilii Semenovich.","Moscow : Foreign Languages Pub. House, 1943"
The end of the affair /,"Greene, Graham, 1904-1991.","New York : Bantam Books,  1955, 1951"
"Far from the madding war,","Berners, Gerald Hugh Tyrwhitt-Wilson, Baron, 1883-1950.","London, Constable 1941"
The Caine mutiny /,"Wouk, Herman, 1915-","New York : Pocket Books, 1951"
Little known of these waters /,"Porteous, R. S. 1896-1963.","Sydney : Dymock's Book Arcade, 1945"
A grizzly from the Coral sea; conversation and pictures,"Lea, Tom, 1907-2001.","[El Paso, Tex., C. Hertzog, printer, 1944"
"Dead men rising, a novel,","Mackenzie, Kenneth, 1913-1955.","London, J. Cape 1951"
"The thin blue line,","Graves, Charles, 1899-1971.","London, Melbourne, Hutchinson & Co. 1941"
"Dave Dawson at Dunkirk,","Bowen, Robert Sidney, 1900-1977.","Akron, O., Saalfield Pub. Co., 1941"
Three is a family.,"Pauli, Hertha, 1909-1973.","New York, Washburn 1955"
Tales of the south Pacific /,"Michener, James A. 1907-1997.","Garden City, N.Y. : Curtis Pub. Co.,  1947, 1946"
Bright star or dark /,"Harnden, Ruth Peabody.","London : New York : Whittlesey House, McGraw-Hill Book Co., 1945"
The gremlins : from the Walt Disney production. A Royal air force story /,"Dahl, Roald.","New York : Random House, 1943"
"Red Randall on New Guinea,","Bowen, Robert Sidney, 1900-1977.","New York, Grosset & Dunlap 1944"
"All that seemed final,","Colebrook, Joan.","Boston, Houghton Mifflin Co., 1941"
Passing by.,"Merrick, Elliott, 1905-1997.","New York, Macmillan Co., 1947"
"""F"" Squadron /","Bonciani, Carlo, 1899-; Shillidy, John.","London : J.M. Dent, 1947"
Shadows under the midnight sun /,"Anderson, Ken, 1917-2006.","Grand Rapids, Mich. : Zondervan publishing house, 1943"
The ordeal of Sergeant Smoot /,"Paul, Louis, 1901-; Lariar, Lawrence,","New York : Crown Publishers, 1943"
"And the hunter home,","Charles, Joan, 1914-1978.","New York London, Harper & Bros. 1946"
Winged victory; the army air force play by Moss Hart.,"Hart, Moss, 1904-1961.","Cleveland, World Pub. Co. 1943"
Air force : novelization /,"Watson, John O.; Nichols, Dudley,","New York : Grosset & Dunlap, 1943"
"We were the rats,","Glassop, Lawson.","Sydney, London, Angus and Robertson Ltd., 1944"
"The body fell on Berlin,","Lakin, Richard.","New York, G.P. Putnam's Sons 1943"
Landfall : a channel story /,"Shute, Nevil, 1899-1960.","London : William Heinemann, 1940"
"Target island,","Brophy, John, 1899-1965.","New York and London, Harper & Bros. 1944"
"England is my village,","Rhys, John Llewelyn, 1910-1940.","London, Faber and Faber Ltd. 1941"
Return via Dunkirk.,Gun Buster.,"London : Hodder & Stoughton, 1940"
Young fighters of the Soviets /,"Edelstadt, Vera, 1903-1984.; Florian,","New York : Knopf, 1944"
A walk in the sun /,"Brown, Harry, 1917-1986.; Skidmore, Hobert Douglas,","New York : Knopf, 1944"
Young fighters of the Soviets /,"Edelstadt, Vera, 1903-1984.; Florian,","New York : Knopf, 1944"
A walk in the sun /,"Brown, Harry, 1917-1986.; Skidmore, Hobert Douglas,","New York : Knopf, 1944"
Spring 1940 /,"Engstrand, Stuart David, 1905-1955.","New York : Doubleday, Doran, 1941"
Corporal Keeperupper /,"Milhous, Katherine, 1894-1977.","New York, N.Y. : Scribner, 1943"
"The deserter, a novel.","Barrington, Lowell, 1912-","New York, Macmillan, 1954"
The big pick-up /,"Trevor, Elleston.","London : Heinemann, 1955"
Brave company /,"Wilson, Guthrie.","London : Robert Hale, 1951"
The veterans.,"Lambert, Eric, 1921-1966.","London, Shakespeare Head 1954"
Never so young again /,"Brennan, Dan, 1917-","New York : Rinehart & Co., 1946"
The brass chills / by Hugh Pentecost.,"Pentecost, Hugh, 1903-1989.","New York : Dodd, Mead & Company, 1943"
"Dave Dawson at Dunkirk,","Bowen, Robert Sidney, 1900-1977.","Akron, O., Saalfield Pub. Co., 1941"
"Dave Dawson, flight lieutenant /","Bowen, Robert Sidney, 1900-1977.","Akron, Ohio : Saalfield, 1941"
"The twelve disguises,","Beeding, Francis.","New York, Harper, 1942"
A bell for Adano.,"Hersey, John, 1914-1993.","New York, Bantam Books 1946"
Duty to live.,"Dedmon, Emmett.","Boston, Houghton Mifflin Co., 1946"
The troubled midnight : a novel /,"Gunther, John, 1901-1970.","New York : Harper, 1945"
But not forsaken.,"Brenneman, Helen Good.","Scottdale, Pa., Herald Press, 1954"
Dave Dawson on convoy patrol /,"Bowen, Robert Sidney, 1900-1977.","Akron, Ohio : Saalfield Pub. Co., 1941"
"Barry Blake of the flying fortress,","Du Bois, Gaylord, 1899-","Racine, Wis., Whitman, 1943"
"The days between, a novel.","Foster, Elizabeth, 1905-","N.Y., Harper, 1942"
"A Yank in the R.A.F.,","Thomas, Harlan, 1910-1974.","New York, Random House 1941"
Pattern of conquest /,"Evers, Leonard H.","Sydney : Currawong, 1954"
"Class report, a novel.","Purcell, John Francis, 1916-","New York, Vanguard Press, 1947"
The science of hatred /,"Sholokhov, Mikhail Aleksandrovich, 1905-1984.; Gropper, William,","New York : New Age Publishers, 1943"
The pink umbrella : a mystery novel /,"Crane, Frances.","Philadelphia ; New York : J.B. Lippincott, 1943"
The cruise of The Breadwinner /,"Bates, H. E. 1905-1974.","London : M. Joseph, 1946"
A bell for Adano.,"Hersey, John, 1914-1993.","New York, Bantam Books 1946"
"Eleven were brave,","Beeding, Francis.","New York, Harper, 1941"
"Spear head, a novel","Brophy, John, 1899-1965.","London, Collins, 1943"
"Readiness at dawn,","""Blake,"", pseud.","London, V. Gollancz, 1941"
Enemy sighted / by Alec Hudson.,"Hudson, Alec, 1900-1986.","New York : Macmillan Co., 1941"
"Thy men shall fall,","Moss, Sidney.; Moss, Samuel,","Chicago, Ziff-Davis Pub. Co., 1948"
The hour before the Dawn.,"Maugham, W. Somerset 1874-1965.","New York, P.F. Collier 1942"
The power house /,"Comfort, Alex, 1920-2000.","London : G. Routledge, 1944"
"A corpse by any other name,","Walling, R. A. J. 1869-1949.","New York, W. Morrow & Co., 1943"
Juan of Manila /,"McSwigan, Marie, 1907-1962.; Ayer, Margaret,","New York : Dutton, 1947"
Corporal Keeperupper /,"Milhous, Katherine, 1894-1977.","New York, N.Y. : Scribner, 1943"
"Faces in a dusty picture,","Kersh, Gerald, 1911-1968.","London, Toronto, W. Heinemann 1944"
The cruel sea.,"Monsarrat, Nicholas, 1910-1979.","London, Cassell & Co.,  1952, ?"
"The rainbow,","Wasilewska, Wanda, 1905-1964.; Bone, Edith,",London New York [etc.] Hutchinson & co. ltd. 1943
"The rainbow,","Wasilewska, Wanda, 1905-1964.; Bone, Edith,",London New York [etc.] Hutchinson & co. ltd. 1943
Little girl from the city;,"Voronkova, L.; Berger, Josef,; Steed, Ruth,","Boston, Little, Brown, 1948"
With their own eyes.,"Panferov, Fedor Ivanovich, 1896-1960.","Moscow, Foreign Languages Pub. House, 1942"
"Captain Smith and company,","Henriques, Robert David Quixano, 1905-1967.","London, W. Heinemann 1943"
Bright star or dark /,"Harnden, Ruth Peabody.","London : New York : Whittlesey House, McGraw-Hill Book Co., 1945"
Incident in Yorkville /,"Sterne, Emma Gelders, 1894-1971.","New York : Farrar & Rinehart, 1943"
The test.,"Perventsev, Arkadii Alekseevich, 1905-","London, New York [etc.] Hutchinson & co., ltd. 1944"
The bridge on the River Kwai : a novel /,"Boulle, Pierre, 1912-1994.","New York : Vanguard Press, 1954"
Dave Dawson with the Air corps /,"Bowen, Robert Sidney, 1900-1977.","Akron, Ohio : Saalfield, 1942"
"Hate,","Sholokhov, Mikhail Aleksandrovich, 1905-1984.","Moscow, Foreign Languages Pub. House, 1942"
Winged victory; the army air force play by Moss Hart.,"Hart, Moss, 1904-1961.","Cleveland, World Pub. Co. 1943"
A walk in the sun /,"Brown, Harry, 1917-1986.","New York : Overseas Editions, 1944"
The power house /,"Comfort, Alex, 1920-2000.","London : G. Routledge, 1944"
Beowulf : roman d'une maison de th dans Londres bombard /,"Bryher, 1894-1983.; Monnier, Adrienne.","Paris : Mercure de France, 1948"
Awol the courier /,"Shurtleff, Bertrand, 1897-; Thorne, Diana,","Indianapolis : Bobbs-Merill, 1951"
Black Bethlehem.,"Cooper, Lettice Ulpha, 1897-","New York : Macmillan Co., 1947"
"The phantom freighter,","Riesenberg, Felix, 1913-","New York, Dodd, Mead & Co., 1944"
Put out more flags.,"Waugh, Evelyn, 1903-1966.","Boston, Little, Brown and Co., 1946"
The last profession /,"Bost, Jacques Laurent.","N.Y. : Doubleday, 1948"
"Whitechester, England : a town at war.  Publication:  New York, N.Y. : British Information Services, 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 30   More Like This:  Advanced options ...   See more details for locating this item","Whitechester, England : a town at war.  Publication:  New York, N.Y. : British Information Services, 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 30   More Like This:  Advanced options ...   See more details for locating this item","New York, N.Y. : British Information Services, 1945"
Put out more flags.,"Waugh, Evelyn, 1903-1966.","Boston, Little, Brown and Co., 1946"
The last profession /,"Bost, Jacques Laurent.","N.Y. : Doubleday, 1948"
"Whitechester, England : a town at war.  Publication:  New York, N.Y. : British Information Services, 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 30   More Like This:  Advanced options ...   See more details for locating this item","Whitechester, England : a town at war.  Publication:  New York, N.Y. : British Information Services, 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 30   More Like This:  Advanced options ...   See more details for locating this item","New York, N.Y. : British Information Services, 1945"
"Red Randall in the Aleutians,","Bowen, Robert Sidney, 1900-1977.","New York, Grosset & Dunlap 1945"
Command decision /,"Haines, William Wister, 1908-1989.","New York : Pocket Books,  1949, 1947"
All summer long /,"Hobson, Wilder, 1906-1964.","New York : Duall, Sloan and Pearce, 1945"
"The high courts of heaven; a story of the R.A.F.,","Hewes, J. V. 1912-","Garden City, N.Y., Doubleday, Doran and Co., 1943"
"Miss Bronska,","Sheldon, Jean (Pendleton)","New York, Dodd, Mead & Co., 1942"
"Keith Argraves, paratrooper : an account of the service of a christian medical corpsman in the United States Army paratroops during World War II ... /","Chambers, George W. 1900-","Nashville : Southern Publishing Association, 1946"
"The people immortal,","Grossman, Vasilii Semenovich.","London, New York, Hutchinson & Co. 1943"
"H.M.S. Wideawake, destroyer and preserver,","Stitt, George Marquis Stewart.","London, G. Allen & Unwin, Ltd. 1943"
The last inspection /,"Lewis, Alun, 1915-1944.","London : G. Allen & Unwin, 1942"
"Very ordinary seaman,","Mallalieu, J. P. W. 1908-1980.","London, V. Gollancz, 1944"
Sally Scott of the WAVES;,"Snell, Roy J. 1878-","Racine, Wis., Whitman Pub. Co. 1943"
Knoll island : a novel /,"Chamberlain, George Agnew, 1879-1966.","Indianapolis ; New York : Bobbs-Merrill Co., 1943"
A boat for England.,"Evensmo, Sigurd, 1912-; Bateson, Slvi,","London, Eyre & Spottiswoode 1947"
The problems of Lieutenant Knapp,"Mucha, Jir, 1915-1991.; Osers, Ewald,","London, Hogarth Press, 1945"
Echo of a bomb /,"Van Siller, Hilda.","Garden City, N.Y. : Published for the Crime Club by Doubleday, Doran and Co., 1943"
Dave Dawson with the commandos /,"Bowen, Robert Sidney, 1900-1977.","Akron, Ohio : Saalfield Pub. Co., 1942"
Duration,"Putnam, George Palmer, 1887-1950.","Garden City, New York, Doubleday, Doran & Co., 1943"
The crusaders /,"Heym, Stefan, 1913-2001.","London ; Toronto : Cassell, 1950"
"Night over Java, a novel,","Fabricius, Johan, 1899-1981.","London, Toronto, W. Heinemann Ltd. 1944"
A walk in the sun /,"Brown, Harry, 1917-1986.","Philadelphia : Blakiston, 1944"
Victorius island /,"Van der Haas, Henrietta.","New York : Harcourt, Brace, 1947"
He rides the sky.,"Baird, Irene.","Toronto, Macmillan, 1941"
"A gang of ten,","Mann, Erika, 1905-1969.","New York, L.B. Fischer 1942"
"Yes, farewell /","Burn, Michael.","London : Reprint Society, 1947"
Mister Roberts /,"Heggen, Thomas.","New York : Pocket Books, 1948"
Turn of the dial,"Smith, Chard Powers, 1894-1977.","New York, C. Scribner's Sons, 1943"
The last inspection /,"Lewis, Alun, 1915-1944.","London : G. Allen & Unwin, 1942"
Red Randall on active duty /,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
"We shall march again,","Kramer, Gerhard, 1904-","London, Cape 1955"
"Norma Kent of the WACS,","Snell, Roy J. 1878-1959.; Meixner, Hedwig Jo,","Racine, Wis., Whitman Pub. Co. 1943"
Beach red.,"Bowman, Peter.","London, Michael Joseph 1946"
Star : a story /,"Kazakevich, Emmanuil, 1913-1962.","Moscow : Foreign Languages Pub. House, 1952"
Torpedo! Stories of the royal navy,"Hackforth-Jones, Gilbert, 1900-1982.","New York, W. Morrow and Company, 1943"
Meeting at the milestone. /,"Hoel, Sigurd, 1890-1960.","London, Secker and Warburg, 1951"
"Bicycle commandos,","Farmer, Wendell.; Harvey, Allen,","Garden City, New York, Doubleday, Doran and Co. 1944"
Red Randall at Midway /,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
The perilous island : a story of mystery in the Aleutians /,"Kummer, Frederic Arnold, 1873-1943.","Philadelphia : John C. Winston Co., 1942"
Give him my love : a novel /,"Mackay, Margaret Mackprang, 1907-","New York, John Day Co. 1949"
Tales of the south Pacific /,"Michener, James A. 1907-1997.","New York : Macmillan,  1948, 1947"
Haven for the brave /,"Yates, Elizabeth, 1905-2001.","New York : A.A. Knopf, 1941"
Most secret /,"Shute, Nevil, 1899-1960.","Garden City, N.Y. : Sun Dial Press, 1945"
"Dave Dawson with the Pacific fleet,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1942"
Duration,"Putnam, George Palmer, 1887-1950.","Garden City, New York, Doubleday, Doran & Co., 1943"
The gallery /,"Burns, John Horne, 1916-1953.","London : Secker and Warburg,  1948, 1947"
"A Yankee flier in North Africa,","Avery, Al, 1896-1985.","New York, Grosset & Dunlap 1943"
The Blackbirder /,"Hughes, Dorothy B. 1904-1993.","New York : Duell, Sloan and Pearce, 1943"
"God glanced away; a novel,","Anstruther, Gilbert, 1909-","Sydney, Peter Huston 1945"
For peace comes dropping slow.,"Donoghue, Gerald, 1906-1991.","San Antonio, Naylor Co. 1948"
The dreamers /,"Clark, J. Bigelow","Garden City, New York : Doubleday, Doran & Co., Inc., 1945"
"The friend; a novel,","Wolff, Perry.","New York, Crown Publishers 1950"
The white bull /,"Blanchard, Henry, 1902-","Garden City, N.Y. : Doubleday & Co., 1947"
Dave Dawson in Libya /,"Bowen, Robert Sidney, 1900-1977.","Akron, O. : Saalfield, 1941"
Dave Dawson on the Russian front /,"Bowen, Robert Sidney, 1900-1977.","Akron, Ohio : Saalfield, 1943"
This above all /,"Knight, Eric, 1897-1943.","Toronto : Musson Book Co., 1941"
"Left till called for,","Treadgold, Mary.; Flethe, Richard,","Garden City, N.Y., Doubleday, Doran & Co., 1941"
The stranger in Primrose Lane /,"Streatfeild, Noel.; Floethe, Richard,","New York : Random House, 1941"
"A Yankee flier in Normandy,","Avery, Al, 1896-1985.","New York, Grosset & Dunlap 1945"
"Left till called for,","Treadgold, Mary.; Flethe, Richard,","Garden City, N.Y., Doubleday, Doran & Co., 1941"
The stranger in Primrose Lane /,"Streatfeild, Noel.; Floethe, Richard,","New York : Random House, 1941"
"A Yankee flier in Normandy,","Avery, Al, 1896-1985.","New York, Grosset & Dunlap 1945"
Black-out in Gretley : a story of and for wartime /,"Priestley, J. B. 1894-1984.","New York : Harper, 1942"
The last to rest /,"Raymond, Ernest, 1888-1974.","New York : H.C. Kinsey, 1942"
A walk in the sun /,"Brown, Harry, 1917-1986.; Skidmore, Hobert Douglas,","[S.l. : s.n., 1944"
Men with a clear conscience.,"Vershigora, Petr Petrovich, 1905-1963.","Moscow, Foreign Languages Pub. House, 1949"
Women's barracks /,"Torrs, Tereska.; Phillips, Barye,","New York : Fawcett Publications, Inc., 1950"
Red sepulcre : a story of adventure behind the Iron Curtain /,"Simonds, Peter, 1906-","Montreal, Canada : Adanar Press, 1947"
No music for generals.,"Howard, Frederick, 1904-","London New York, Wingate 1951"
Children of Vienna : a novel /,"Neumann, Robert, 1897-1975.","London : V. Gollancz, 1946"
The secret of the buried tomb /,"Knight, Clayton, 1891-1969.","New York : A.A. Knopf, 1948"
"Red Randall over Tokyo,","Bowen, Robert Sidney, 1900-1977.","New York, Grosset & Dunlap 1944"
"The journey home,","Henriques, Robert David Quixano, 1905-1967.","London, Toronto, W. Heinemann Ltd. 1944"
"The best from Yank, the Army weekly /  Publication:  New York : Dutton, 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 25   More Like This:  Advanced options ...   See more details for locating this item","The best from Yank, the Army weekly /  Publication:  New York : Dutton, 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 25   More Like This:  Advanced options ...   See more details for locating this item","New York : Dutton, 1945"
"Lost squadron,","Cook, Canfield.","New York, Grosset & Dunlap 1943"
Spring offensive,"Lewis, Herbert Clyde.","New York, The Viking press, 1940"
"Zero eight fifteen, a novel.","Kirst, Hans Hellmut, 1914-1989.","London, Weidenfeld and Nicolson,  1955-1957"
Cairo concerto /,"Shuman, John Rogers, 1909-","New York : Harcourt, Brace and Co., 1947"
No bombs at all; some short stories of the Royal Air Force,"Ward-Jackson, C. H.; Biro,","London, Sylvan Press 1944"
Igor's summer : a story of our Russian friends /,"Beim, Lorraine, 1909-1951.; Beim, Jerrold,; Wiese, Kurt,","New York : Russian War Relief, 1943"
The sword of fate /,"Wheatley, Dennis, 1897-1977.","New York : Macmillan, 1944"
"In the south,","Kalinin, Anatolii, 1916-2008.; Garry, Stephen,","London, New York [etc.] Hutchinson & Co. Ltd. 1946"
Eagles in the sky /,"Mazet, Horace S. 1903-","Philadelphia : The Westminster Press, 1946"
The balloon /,"Brown, Henry Phelps, 1906-1994.","London : Macmillan ; New York : St. Martin's Press, 1953"
Johnny Purple.,"Wyllie, John, 1914-","London, Secker & Warburg, 1955"
"... Tommy and his dog, Hurry,","Ferris, Helen Josephine, 1890-1969.; Wood, Ruth,","Garden City, New York, Doubleday, Doran & Co. 1944"
The battle within : a novel /,"Gibbs, Philip, 1877-1962.","London : Hutchinson, 1940"
The time of the assassins /,"Blunden, Godfrey, 1906-","London : J. Cape, 1953"
"A Yankee flier in North Africa,","Avery, Al, 1896-1985.","New York, Grosset & Dunlap 1943"
Broken image.,"Ebert, Virginia.","New York, Morrow, 1951"
The young lions /,"Shaw, Irwin, 1913-1984.","New York : Dell Books, 1948"
Officers and gentlemen /,"Waugh, Evelyn, 1903-1966.; Ray, Gordon Norton,","London : Chapman & Hall, 1955"
Stand by--Mark! The career story of a naval officer /,"Gardiner, Frederic Merrick, 1887-","New York : Dodd, Mead & company, 1943"
Tales of the South Pacific /,"Michener, James A. 1907-1997.","New York : Macmillan,  1947, 1946"
"Lost squadron,","Cook, Canfield.","New York, Grosset & Dunlap 1943"
"Target island, a novel","Brophy, John, 1899-1965.","London, Collins, 1944"
Guard of honour /,"Cozzens, James Gould, 1903-1978.","London ; New York : Longmans, Green, 1949"
Put out the light /,"Vercors, 1902-1991.; Connolly, Cyril,","London, Macmillan, 1944"
Long the imperial way /,"Tasaki, Hanama.","London : Victor Gollancz,  1951, 1949"
Long the imperial way /,"Tasaki, Hanama.","London : Victor Gollancz,  1951, 1949"
"Spitfire pilot,","Cook, Canfield.","New York, Grosset & Dunlap 1942"
Kaputt.,"Malaparte, Curzio, 1898-1957.",[Paris] Denol 1946
Inside the hut.,"Wasilewska, Wanda, 1905-1964.","Moscow, Foreign Language Pub. House, 1942"
The Caine mutiny : a novel of World War II.,"Wouk, Herman, 1915-","Garden City, N.Y. : Doubleday, 1951"
Beach patrol /,"Rogers, Kerk.","New York : M.S. Mill Co., 1943"
"Pilots, man your planes!","Mason, F. van Wyck 1901-1978.","Philadelphia : Lippincott, 1944"
Squadron airborne.,"Trevor, Elleston.","London, Heinemann, 1955"
Red sepulcre : a story of adventure behind the Iron Curtain /,"Simonds, Peter, 1906-","Montreal, Canada : Adanar Press, 1947"
The veterans /,"Lambert, Eric, 1921-1966.","London F. Muller, 1954"
Q-boat /,"Mason, F. van Wyck 1901-1978.","Philadelphia : Lippincott, 1943"
Walk on the water.,"Leveridge, Ralph, 1922-","[New York] Farrar, Straus & Young 1951"
"All clear, Canada!","Wright, James Frederick Church, 1904-","Toronto. Can., Copp Clark Co., 1944"
This above all /,"Knight, Eric, 1897-1943.","New York : Harper, 1941"
Came a cavalier /,"Keyes, Frances Parkinson, 1885-1970.","London : Eyre & Spottiswoode, 1948"
Of many men /,"Aldridge, James.","London : M. Joseph, 1946"
Growing up; a novel.,"Thirkell, Angela, 1890-1961.","London, H. Hamilton  1950, 1947"
"Forest of anger,","Gary, Romain.; Garvin, Viola Gerard,","London, The Cresset Press, 1944"
"Dave Dawson with the R.A.F.,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1941"
"On the forward fringe, a novel of General Panfilov's division,","Beck, Alexander, writer on Red army.","London, New York [etc.] Hutchinson & Co., Ltd. 1945"
A flight of birds /,"Hanley, Timothy.","London : MacDonald, 1953"
Of many men /,"Aldridge, James.","London : M. Joseph, 1946"
Growing up; a novel.,"Thirkell, Angela, 1890-1961.","London, H. Hamilton  1950, 1947"
"Forest of anger,","Gary, Romain.; Garvin, Viola Gerard,","London, The Cresset Press, 1944"
"On the forward fringe, a novel of General Panfilov's division,","Beck, Alexander, writer on Red army.","London, New York [etc.] Hutchinson & Co., Ltd. 1945"
Tales of the Bryansk woods.,"Krivitskii, Aleksandr IUrevich.; Krainov, Pavel,","Moscow, Foreign Languages Pub. House, 1944"
The blackbird of Ospo : stories of Jugoslavia /,"Hendry, J. F.","Glasgow : W. MacLellan, 1945"
"Yes, farewell,","Burn, Michael.","New York, Macmillan, 1947"
The odds against us /,"Richter, Hans Werner, 1908-1993.","London : MacGibbon & Kee, 1950"
"Destroyer from America,","Fernald, John, 1905-","London, J. Cape 1942"
The obscure enemy /,"Raynolds, Robert, 1902-1965.","New York : Margent Press, 1945"
"The avengers,","Graves, Charles, 1899-1971.","London, New York [etc.] Hutchinson & Co. 1942"
Dog of war /,"Downey, Fairfax, 1893-1990.; Brown, Paul,","New York : Dodd, Mead & Company, 1943"
We were the rats /,"Glassop, Lawson.","Sydney ; London : Angus and Robertson, 1945"
A rope of sand /,"Bonnamy, Francis.","New York : Duell, Sloan and Pearce, 1944"
...Wings over Japan /,"Cook, Canfield.",New York : Grosset & Dunlap ; 1944
"Dave Dawson in Libya,","Bowen, Robert Sidney, 1900-1977.","New York, Crown publishers 1941"
Apartment in Athens /,"Wescott, Glenway, 1901-1987.","New York : Editions for the Armed Services, 1945"
"Invasion, being the personal recollections of what happened to our own family and to some of our friends during the first forty-eight hours of that terrible incident in our history which is now known as the great invasion and how we escaped with our lives and the strange adventures which befell us before the Nazis were driven from our territories.","Van Loon, Hendrik Willem, 1882-1944.","New York, Grosset & Dunlap 1940"
Wake of glory /,"Redding, Jack, 1908-1965.; Smith, Thor M.","Indianapolis ; New York : The Bobbs-Merrill Co., 1945"
"Sky attack,","Cook, Canfield.","New York, Grosset & Dunlap 1942"
Wake of glory /,"Redding, Jack, 1908-1965.; Smith, Thor M.","Indianapolis ; New York : The Bobbs-Merrill Co., 1945"
The cautious husband /,"Evans, Virginia.","New York : Coward-McCann, Inc., 1949"
The bridge over the River Kwai.,"Boulle, Pierre, 1912-","New York, Bantam, 1954"
"Red Randall in Burma,","Bowen, Robert Sidney, 1900-1977.","New York, Grosset & Dunlap 1945"
"Reluctant Odyssey; being the second volume of The eighth champion of Christendom,","Peters, Ellis, 1913-1995.; Peters, Ellis,","London, Toronto, W. Heinemann ltd 1946"
NTR : Nothing to report /,"Leasor, James.","London : Werner Laurie, 1955"
"Dave Dawson at Singapore,","Bowen, Robert Sidney, 1900-1977.","New York, Crown Publishers 1942"
Out of the dawn /,"Thwaites, Frederick J.","Sydney : Thwaites, 1945"
"Come into my parlour, a novel.","Wheatley, Dennis, 1897-1977.","London, New York [etc.] Hutchinson & co., ltd. 1946"
"Eagle and Tartan, translated from Polish","Pomian, Jerry, pseud.; Pearce, R.,","Glasgow, Ksiaznica Polska, 1944"
Two per cent fear /,"Burgan, John, 1913-1951.","New York : Farrar, Straus, 1947"
Surface! : a novel /,"Fullerton, Alexander, 1924-","London : P. Davis, 1953"
Long the imperial way /,"Tasaki, Hanama.","Boston : Houghton Mifflin, 1949"
"Spitfire pilot,","Cook, Canfield.","New York, Grosset & Dunlap 1942"
"Victory salvo,","Austin, John.","London, Hodder & Stoughton 1946"
Shelter /,"Steen, Marguerite.","Garden City, N.Y. : Sun Dial Press,  1942, 1941"
From here to eternity /,"Jones, James, 1921-1977.","New York : New American Library, 1951"
"""Thus am I slayn."" /","Clewes, Howard, 1912-1988.","New York : E.P. Dutton, 1948"
Don't wait up for spring /,"Mergendahl, Charles, 1919-","Boston : Little, Brown and Co., 1944"
Destroyer from America /,"Fernald, John, 1905-","New York : Macmillan,  1943, 1942"
Crispin's day; a novel.,"Howard, Leigh, 1914-1979.","London, Longmans, Green 1952"
Each for all /,"Nagibin, IUrii, 1920-1994.","London ; New York : Hutchinson, 1945"
"Away all boats, a novel.","Dodson, Kenneth, 1907-","London, Sydney, Angus & Robertson 1955"
Thunder birds /,"Falk, Orson.","New York : Random House, 1942"
Island on the beam /,"Blackstock, Josephine.","New York : G.P. Putnam's Sons, 1944"
